Subject,Start Date,Start Time,End Time,All Day Event,Private,Description,Location
Open Mic,01/14/17,6:00 PM,8:00 PM,False,True,(415) 431-6290,"Two Jacks Seafood 401 Haight St, San Francisco, CA"
Paradigm Rhymes,01/14/17,8:00 PM,10:00 PM,False,True,(424) 260-3650,"The Urban Center 732 Bryant St, San Francisco, CA"
Godfrey's Reality Check,01/14/17,8:00 PM,10:00 PM,False,True,(415) 751-0200,"Ray's Hearth 4701 Geary Blvd., San Francisco, CA"
Open Mic,01/16/17,7:00 PM,9:00 PM,False,True,(415) 861-3663,"BrainWash Cafe 1122 Folsom Street, San Francisco, CA"
Monday Happy Hour Comedy,01/16/17,7:00 PM,9:00 PM,False,True,(415) 441-4099,"Cafe Royale 800 Post St, San Francisco, CA"
Open Mic,01/16/17,7:30 PM,9:30 PM,False,True,(415) 546-6300,"Hotel Utah 500 Fourth Street, San Francisco, CA"
Open Mic,01/16/17,8:00 PM,10:00 PM,False,True,(415) 586-3733,"Bird And Beckett Books 653 Chenery, San Francisco, CA"
Open Mic,01/16/17,9:00 PM,11:00 PM,False,True,(415) 731-1208,"Portals Tavern 179 West Portal Avenue, San Francisco, CA"
Open Mic,01/17/17,8:00 PM,10:00 PM,False,True,(415) 861-3663,"BrainWash Cafe 1122 Folsom Street, San Francisco, CA"
Overnight Sensation,01/17/17,9:30 PM,11:30 PM,False,True,(415) 503-0684,"Showdown 10 6th St., San Francisco, CA"
Open Mic,01/17/17,10:00 PM,12:00 AM,False,True,(415) 674-1266,"La Roccas Corner 957 Columbus Ave, San Francisco, CA"
Open Mic,01/18/17,7:00 PM,9:00 PM,False,True,(415) 387-3859,"Sacred Grounds Cafe 2095 Hayes St., San Francisco, CA"
Free Feature Salon,01/18/17,7:00 PM,9:00 PM,False,True,(415) 387-6343,"Neck Of The Woods 406 Clement, San Francisco, CA"
Open Mike,01/19/17,7:00 PM,9:00 PM,False,True,(415) 831-5620,"Bazaar Cafe 5927 California St., San Francisco, CA"
Open Mic,01/19/17,7:00 PM,9:00 PM,False,True,(415) 397-3859,"Sacred Grounds Cafe 2059 Hayes St, San Francisco, CA"
Open Mic,01/19/17,8:00 PM,10:00 PM,False,True,(408) 258-1427,"Game On Sports 1631 North Capitol Avenue, San Francisco, CA"
Open Mic,01/20/17,6:00 PM,8:00 PM,False,True,(415) 296-7942,"Caffe Roma  526 Columbus Avenue , San Francisco, CA"
Open Mic,01/20/17,7:30 PM,9:30 PM,False,True,(415) 552-7390,"Cafe International 508 Haight St., San Francisco, CA"
